노선번호,노선형태,노선구분,노선유형,기점ID,종점ID,첨두시배차간격,비첨두시대차간격,노선총길이,노선개정번호,노선경유개정번호,관할관청,노선표준ID,운행개시일,운행종료일,BCP_ID,노선명,노선ID
410-2번,3,6,13,188,79,262,262,25120.9,1001,1001,구미시,355000525,20110101,20301231,1003,(구 16번)원호동_구미역_임은동_구미역,410-236
170-2번,1,0,11,435,187,0,0,19404.7,1001,1001,구미시,355002145,20110101,20501231,1001,(구 120번)선산_지산_구미역_원호동,170-210
461번,3,0,13,80,79,176,540,22428.3,1001,1001,구미시,355000083,20110101,20301231,1003,(구 19번)구미역_임은동_비산보성_구미역,46130
171번,1,0,13,435,79,26,26,19881.1,1001,1001,구미시,355000084,20110101,20301231,1003,(구 20번)선산_구미역,17110
882-1번,2,1,13,2265,187,0,0,26364.2,1001,1001,구미시,355000175,20110101,20301231,1003,(구 47번)성곡_구미역_원호동,882-121
170번,1,2,12,435,79,19,19,17265.1,1001,1001,구미시,355000259,20110101,20301231,1003,(구 120번)선산_구미역,17012
303번,3,0,13,884,883,76,76,12190.2,1001,1001,구미시,355002230,19000101,20500101,1003,황상동_3공단순환_황상동,30330
182번,1,0,13,80,883,130,130,16461.5,1001,1001,구미시,355000149,20110101,20301231,1003,(구 42번)구미역_전자공고(임수동)_황상,18210
183번,1,0,13,80,883,168,168,12442.6,1001,1001,구미시,355002157,19000101,20300101,1001,(구 142번)구미역_롯데마트_인동_황상동,18310
182-2번,1,0,13,80,883,118,118,13178.8,1001,1001,구미시,355002075,20110101,20301231,1003,(구 43-1번)구미역_신평시장_황상,182-210
