노선번호,노선형태,노선구분,노선유형,기점ID,종점ID,첨두시배차간격,비첨두시대차간격,노선총길이,노선개정번호,노선경유개정번호,관할관청,노선표준ID,운행개시일,운행종료일,BCP_ID,노선명,노선ID
360-3번,2,5,13,2295,331,188,188,21644.5,1001,1001,구미시,355000523,20110101,20301231,1003,(구 15번)숭오리_형곡중_구미역_원호_봉곡청마루,360-325
191-2번,2,0,13,181,331,0,0,26373,1001,1001,구미시,355002176,20110101,20501231,1003,(구 13-1번)옥계e편한세상_금오공대_형곡동_구미역_봉곡청마루,191-220
24-1번,1,2,13,1048,97,236,236,16982.8,1001,1001,구미시,355002288,19000101,20500101,1003,문성2지구_구미역_구운초등,24-112
554번,1,0,11,4040,91,335,335,21654.9,1001,1001,구미시,355002280,19000101,20500101,1001,김천(구미)역_아포읍사무소_구미터미널,55410
74-1번,1,1,13,435,26,256,387,27708.9,1001,1001,구미시,355000099,20110101,20301231,1003,(구 23번)선산_경운대,74-111
29번,1,0,13,82,1048,73,73,9437.4,1001,1001,구미시,355002291,20110101,20301231,1003,구미역_시청후문_문성2지구,2910
360번,1,0,13,80,2557,34,34,16125.8,1001,1001,구미시,355000046,20110101,20301231,1003,(구 15번)구미역_형곡중_숭오리,36010
22번,3,2,13,332,331,194,194,34548.2,1001,1001,구미시,355000323,20110101,20301231,1003,(구 1-1번)청마루_홈플러스_청마루,2232
340번,3,0,13,80,79,19,19,27713.3,1001,1001,구미시,355000027,20110101,20301231,1003,(구 13번)구미역_순천향병원_구미역,34030
340번,1,1,13,124,79,0,0,30666.5,1001,1001,구미시,355000512,20110101,20301231,1003,(구 13번)구미여고_구미역_순천향병원_구미역(학생차량),34011
340-1번,3,0,13,188,79,0,0,30603.5,1001,1001,구미시,355002186,19000101,20500101,1003,(구 13번)원호동_구미역_형곡동_순천향병원_형곡동_구미역,340-130
13번,1,0,13,79,1998,0,0,2364,1001,1001,구미시,355002305,20110101,20501231,1001,06:00부터23:20 까지 약1.5분 간격 운행,1310
13번,2,0,13,1998,80,0,0,2347.7,1001,1001,구미시,355002306,20110101,20501231,1001,06:00부터23:20 까지 약1.5분 간격 운행,1320
554번,2,0,11,89,4040,341,341,21198,1001,1001,구미시,355002281,19000101,20301231,1001,구미터미널_아포읍사무소_김천(구미)역,55420
340-2번,3,6,13,332,79,0,0,34063.9,1001,1001,구미시,355000508,20110101,20301231,1003,(구 13번)청마루_원호동_구미역_순천향병원_구미역,340-236
340-3번,3,0,13,332,79,0,0,35146.3,1001,1001,구미시,355002188,20110101,20501231,1003,(구 13번)청마루_구미역_순천향병원_구미역,340-330
340-4번,3,5,13,80,331,0,0,33472.2,1001,1001,구미시,355000507,20110101,20301231,1003,(구 13번)구미역_순천향병원_구미역_원호동_청마루,340-435
340-5번,1,2,13,80,790,0,0,33138.5,1001,1001,구미시,355000513,20110101,20301231,1003,(구 13번)구미역_순천향병원_구미역_원호동_문성청솔아파트,340-512
340-6번,3,0,13,791,79,0,0,33072.1,1001,1001,구미시,355002190,20110101,20501231,1003,(구 13번)문성청솔아파트_도량1동_구미역_형곡_순천향병원_구미역,340-630
340-7번,1,3,13,791,79,0,0,33964.8,1001,1001,구미시,355000514,20110101,20301231,1003,(구 13번)문성청솔아파트_새길도로_도량2동_도량교_구미역_순천향병원_구미역,340-713
340-7번,3,8,13,234,79,0,0,40150.1,1001,1001,구미시,355000510,20110101,20301231,1003,(구 13번)도봉초_문성청솔아파트_구미역_순천향병원_구미역,340-738
340-9번,3,2,13,80,187,0,0,30653.3,1001,1001,구미시,355000504,20110101,20301231,1003,(구 13번)구미역_순천향병원_구미역_원호동,340-932
360번,1,4,13,124,2557,300,300,19219.4,1001,1001,구미시,355000054,20110101,20301231,1003,(구 15번)구미여고_구미역_숭오리(학생차량),36014
360-1번,1,0,13,332,2557,15,15,23699.2,1001,1001,구미시,355002193,20110101,20501231,1003,(구 15번)봉곡청마루_구미역_숭오리,360-110
12번,2,0,11,2638,79,141,141,20160.1,1001,1001,구미시,355002308,20110101,20501231,1001,효성해링턴_장곡중_남구미대교_동국방직_순천향병원_금오시장_구미역,1220
360-2번,1,2,13,188,2557,268,268,19219.4,1001,1001,구미시,355000050,20110101,20301231,1003,(구 15번)원호_구미역_형곡중_숭오리,360-212
361번,1,0,13,80,2557,0,0,15631,1001,1001,구미시,355000052,20110101,20301231,1003,(구 15-1번)구미역_사곡고-상모고_숭오리,36110
74-2번,1,0,13,435,26,0,0,38314.1,1001,1001,구미시,355002104,20110101,20501231,1003,(구 23번)선산_도개_해평_산동파출소_경운대,74-210
95-1번,1,1,13,80,740,0,0,28193.9,1001,1001,구미시,355002224,20110101,20501231,1003,(구81번)구미역_옥계휴먼시아_신당_산동파출소_장천,95-111
171-3번,2,0,13,188,435,0,0,26756.8,1001,1001,구미시,355002150,20110101,20501231,1003,(구 20-2번)원호_구미역_형남중_선산,171-320
27번,1,0,13,1035,135,88,88,9356.8,1001,1001,구미시,355000110,20110101,20301231,1003,(구 12번)구미대학교_5주공_구미역_구미여중_금오산,2710
26-2번,3,0,13,82,79,73,73,25958.4,1001,1001,구미시,355002086,20110101,20501231,1003,구미역_대평리_송림사거리_구미역,26-230
26-2번,3,1,13,82,79,245,245,25958.4,1001,1001,구미시,355002087,20110101,20501231,1003,구미역_송림네거리_대평리_구미역,26-231
910번,2,0,12,1050,79,110,110,16771.4,1001,1001,구미시,355002303,20110101,20301231,1001,중흥S클래스_골드클래스1차_옥계부영아파트_공단본부_구미역,91020
70-3번,3,0,13,435,435,0,0,19913.2,1001,1001,구미시,355000127,20110101,20301231,1003,(구 35번)선산_봉남리_선산,70-330
187번,3,0,11,80,79,47,47,31920.1,1001,1001,구미시,355002270,20110101,20501231,1003,구미역_인동정류장_구평휴먼시아_구미역,18730
70-3번,3,1,13,435,435,0,0,20142.3,1001,1001,구미시,355001563,20110101,20301231,1003,선산_봉남리_읍사무소_선산,70-331
71번,3,1,13,435,435,197,197,34014.7,1001,1001,구미시,355002221,19000101,20500101,1003,(구 21번)선산_수다사안쪽_안곡_선산,7131
460번,3,0,13,80,79,0,0,27122.2,1001,1001,구미시,355000082,20110101,20301231,1003,(구 18번)구미역_비산보성_임은동_구미역,46030
181번,1,0,13,80,883,48,48,16622.3,1001,1001,구미시,355000147,20110101,20301231,1003,(구 41번)구미역_형곡중_황상,18110
71번,3,0,13,435,435,0,0,32174.5,1001,1001,구미시,355002090,20110101,20501231,1003,(구 21번)선산터미널_안곡_선산터미널,7130
71번,3,2,13,435,435,0,0,32716.1,1001,1001,구미시,355002222,20110101,20501231,1003,(구 21번)선산터미널_안곡_선산읍사무소_선산터미널,7132
71번,3,3,13,435,546,0,0,16373.7,1001,1001,구미시,355002097,20110101,20501231,1003,(구 21번)선산터미널_안곡,7133
52-1번,2,1,13,4308,435,0,0,18948.6,1001,1001,구미시,355002235,20110101,20501231,1003,아포(칠산)_고아신촌_선산터미널,52-121
94번,1,0,13,709,519,183,183,12760.7,1001,1001,구미시,355002123,20110101,20501231,1003,(구 46번)인동_양포동행정복지센터_금전동_신장리,9410
171-2번,2,0,13,82,435,0,0,23663.2,1001,1001,구미시,355002148,20110101,20501231,1003,(구 20-2번)구미역_형남중_선산,171-220
182-1번,1,0,13,332,883,0,0,28678.3,1001,1001,구미시,355002156,20110101,20501231,1003,(구 42번)봉곡청마루_5주공_구미역_형남중_인동_황상,182-110
186번,1,0,12,80,883,134,134,16622.3,1001,1001,구미시,355000276,20110101,20301231,1003,(구 141번)구미역_형곡중_황상,18610
191번,1,0,13,80,181,76,76,20124,1001,1001,구미시,355002174,20110101,20501231,1003,(구 13-1번)구미역_형곡_신평_비산_금오공대_옥계e편한세상,19110
78번,3,0,13,435,435,176,176,64434.3,1001,1001,구미시,355000124,20110101,20301231,1003,(구 33번)선산_장천터미널_선산,7830
