정류장ID,정류장표준ID,정류장타입,중앙차로구분,한글명칭,단축명,X좌표,Y좌표,검출헤딩값,링크ID,링크선상의X좌표,링크선상의Y좌표,링크내정류장순번,링크내정류장거리,출발판단거리,도착판단거리,개정번호,관할관청,정류장서비스ID,정류장서비스이름
294,355000518,0,0,미광아파트건너,미광아파트,128.321223 ,36.131079 ,257,3550025200,128.321235 ,36.131069 ,1,64.8,50,50,,,10294,미광아파트
2178,355002189,0,0,미군부대,미군부대,128.413807 ,36.003882 ,227,3690015000,128.413820 ,36.003873 ,5,2548,50,50,,,12178,미군부대
2179,355002190,0,0,미군부대건너,미군부대건너,128.413707 ,36.003575 ,39,3690032500,128.413694 ,36.003584 ,4,1594.7,50,50,,,12179,미군부대건너
2180,355002191,0,0,중어동 입구,중어동 입구,128.530701 ,35.997734 ,109,3690014800,128.530694 ,35.997716 ,3,2183.7,50,50,,,12180,중어동 입구
2181,355002192,0,0,중어동 맞은편,중어동 맞은편,128.531106 ,35.997695 ,290,3690032300,128.531113 ,35.997713 ,10,2849.2,50,50,1052,,12181,중어동 맞은편
296,355000837,0,0,미성빌라,미성빌라,128.336350 ,36.116453 ,101,3550147600,128.336591 ,36.116413 ,2,697,50,50,1420,,10296,미성빌라
2182,355002193,0,0,미실영청건너,미실영청건너,128.489704 ,35.918763 ,160,3690006400,128.489746 ,35.918774 ,3,2163.3,50,50,,,12182,미실영청건너
2183,355002194,0,0,미실영청,미실영청,128.491103 ,35.916215 ,340,3690023800,128.491062 ,35.916203 ,5,3993.6,50,50,,,12183,미실영청
297,355000588,0,0,외예리(새터방면),바깥연흥,128.282380 ,36.183618 ,243,3550039100,128.282368 ,36.183638 ,2,2269.5,50,50,1425,,10297,바깥연흥
298,355000636,0,0,외예리(안연흥방면),바깥연흥,128.282420 ,36.183517 ,62,3550045400,128.282408 ,36.183534 ,1,913.9,50,50,1425,,10298,바깥연흥
2184,355002195,0,0,박실(발샘)건너,박실건너,128.427013 ,36.018557 ,197,3690015000,128.426992 ,36.018562 ,1,206.5,50,50,1387,,12184,박실건너
2185,355002196,0,0,박실(발샘),박실,128.427112 ,36.018519 ,17,3690032500,128.427101 ,36.018513 ,9,3975.6,50,50,1387,,12185,박실
402,355000275,0,0,상모로타리앞,상모로타리앞,128.351320 ,36.088696 ,510,3550031300,128.351330 ,36.088692 ,2,369.3,50,50,,,10402,상모로타리앞
299,355000863,0,0,박정희대통령생가건너,박정희대통령생가,128.350419 ,36.088052 ,358,3550128500,128.350326 ,36.088063 ,2,1008.5,50,50,1190,,10299,박정희대통령생가건너
302,355000561,0,0,박정희대통령생가앞,박정희대통령생가,128.350068 ,36.088113 ,179,3550128400,128.350149 ,36.088108 ,1,65,50,50,1190,,10302,박정희대통령생가앞
2186,355002197,0,0,반계리샛터입구,반계리샛터입구,128.436311 ,36.029357 ,46,3690025700,128.436326 ,36.029344 ,2,576.6,50,50,,,12186,반계리샛터입구
2187,355002198,0,0,반계리샛터건너,반계리샛터건너,128.436346 ,36.029479 ,229,3690008300,128.436331 ,36.029492 ,2,1256.8,50,50,,,12187,반계리샛터건너
2188,355002199,0,0,반계리 점마,반계리 점마,128.431217 ,36.023057 ,257,3690008200,128.431224 ,36.023052 ,1,246.1,50,50,,,12188,반계리 점마
4129,355004140,0,0,반고개(내당역4번출구방면),반고개,128.567530 ,35.861137 ,253,1560000300,128.567592 ,35.860978 ,2,1395,50,50,,,14129,반고개
4130,355004141,0,0,반고개(반고개역2번출구방면),반고개,128.568422 ,35.860898 ,70,1560000100,128.568362 ,35.861059 ,18,8910.9,50,50,,,14130,반고개
304,355000844,0,0,반석드림빌앞,반석드림빌,128.344068 ,36.116160 ,88,3550072400,128.344066 ,36.116173 ,2,481.3,50,50,,,10304,반석드림빌
303,355000544,0,0,반석드림빌건너,반석드림빌,128.344058 ,36.116295 ,262,3550030100,128.344059 ,36.116282 ,3,1044.4,50,50,,,10303,반석드림빌
81,355000915,0,0,구미역(김천행),구미역(김천행),128.328432 ,36.130215 ,296,3550032400,128.328432 ,36.130215 ,2,180,50,50,,,10081,구미역(김천행)
2189,355002200,0,0,반석호이스트,반석호이스트,128.405531 ,35.940272 ,163,3690033400,128.405547 ,35.940276 ,7,2018.5,50,50,,,12189,반석호이스트
2190,355002201,0,0,반송교,반송교,128.446382 ,35.994166 ,190,3690016300,128.446361 ,35.994171 ,1,1029.8,50,50,,,12190,반송교
2191,355002202,0,0,반송교입구,반송교입구,128.446368 ,35.993964 ,22,3690033800,128.446388 ,35.993957 ,5,2368.1,50,50,,,12191,반송교입구
4131,355004142,0,0,백모교(야동방면),백모교,128.259637 ,36.181073 ,212,3530006300,128.259605 ,36.181086 ,1,315.1,50,50,,,14131,백모교
177,355000553,0,0,대구은행앞,대구은행앞,128.335663 ,36.127183 ,299,3550032200,128.335640 ,36.127150 ,1,119,50,50,,,10177,대구은행앞
230,355000375,0,0,도문1리내미리(도문1리방면),도문1리내미리,128.426284 ,36.224888 ,187,3550008700,128.426271 ,36.224888 ,1,1454,50,50,,,10230,도문1리내미리
2085,355002096,0,0,남율1리,남율1리,128.401013 ,36.063605 ,162,3690060800,128.401061 ,36.063508 ,1,85,50,50,1423,,12085,남율1리
156,355000445,0,0,내고1리입구앞,내고1리입구,128.278013 ,36.226117 ,251,3550016400,128.278016 ,36.226116 ,1,2126.4,50,50,,,10156,내고1리입구
157,355000736,0,0,내고1리입구건너,내고1리입구,128.278028 ,36.226002 ,80,3550058900,128.278027 ,36.226004 ,1,23,50,50,,,10157,내고1리입구
159,355000880,0,0,내고리(내고1리입구방면),내고리,128.264543 ,36.225773 ,331,3550080500,128.264550 ,36.225781 ,2,1313,50,50,,,10159,내고리
158,355000581,0,0,내고리(북산2리방면),내고리,128.264456 ,36.225970 ,186,3550038300,128.264418 ,36.225974 ,1,1461.2,50,50,,,10158,내고리
2087,355002098,0,0,널동먹골,널동먹골,128.489759 ,35.929460 ,211,3690006400,128.489799 ,35.929445 ,2,959,50,50,,,12087,널동먹골
2088,355002099,0,0,널동먹골건너,널동먹골건너,128.489986 ,35.929431 ,29,3690023800,128.489945 ,35.929446 ,6,5502.9,50,50,,,12088,널동먹골건너
4046,355004057,0,0,네당4동축협,네당4동축협,128.549473 ,35.855078 ,253,1560000300,128.549558 ,35.854919 ,5,3159.4,50,50,,,14046,네당4동축협
145,355000772,0,0,삼도뷰앤빌건너삼거리,삼도뷰앤빌앞삼거리,128.363956 ,36.087021 ,46,3550093200,128.364012 ,36.087053 ,1,63,50,50,1071,,10145,삼도뷰앤빌앞삼거리
147,355000841,0,0,금오초등학교앞,금오초등학교,128.334468 ,36.124907 ,79,3550071600,128.334443 ,36.124971 ,2,524.2,50,50,,,10147,금오초등학교
146,355000541,0,0,금오초등학교건너,금오초등학교,128.334454 ,36.125181 ,262,3550029200,128.334495 ,36.125101 ,1,98.3,50,50,,,10146,금오초등학교
2061,355002072,0,0,금용기계,금융기계주식회사,128.411621 ,35.958280 ,229,3690002400,128.411647 ,35.958258 ,1,42.3,50,50,1409,,12061,금융기계주식회사
148,355000723,0,0,금전동종점,금전동종점,128.468912 ,36.128375 ,180,3550143900,128.475257 ,36.128369 ,1,410,50,50,1417,,10148,금전동종점
332,355000534,0,0,봉곡청마루출발지,봉곡청마루 종점,128.306658 ,36.155575 ,185,3550114400,128.306701 ,36.155586 ,1,206,50,50,1335,,10332,봉곡청마루 종점 출발지
2062,355002073,0,0,금학(지메기),금학(지메기),128.349917 ,35.966134 ,279,3690002100,128.349918 ,35.966148 ,4,3101.7,50,50,,,12062,금학(지메기)
2063,355002074,0,0,금학리 지매기,금학리 지매기,128.349976 ,35.966050 ,84,3690019500,128.349975 ,35.966037 ,1,1009.6,50,50,,,12063,금학리 지매기
126,355000351,0,0,금호1리(금호2리방면),금오1리,128.378299 ,36.217375 ,137,3550115200,128.378355 ,36.217448 ,1,292,50,50,1412,,10126,금오1리
127,355000657,0,0,금호1리(송곡리방면),금오1리,128.378307 ,36.217721 ,318,3550115300,128.378299 ,36.217649 ,1,20,50,50,1412,,10127,금오1리
130,355000372,0,0,금오공대입구(금오공대종점방면),금오공대정문,128.397114 ,36.139294 ,330,3550008400,128.397057 ,36.139270 ,1,353,50,50,1285,,10130,금오공대정문
131,355000678,0,0,금오공대입구(옥계중학교방면),금오공대정문,128.396739 ,36.139484 ,149,3550051100,128.396759 ,36.139493 ,1,404.2,50,50,1285,,10131,금오공대정문
132,355000373,0,0,금오공대종점,금오공대종점,128.394396 ,36.143171 ,510,3550008400,128.394576 ,36.142370 ,2,793,50,50,1425,,10132,금오공대종점
2055,355002066,0,0,금오교회건너,금오교회건너,128.440727 ,35.940076 ,191,3690006500,128.440720 ,35.940077 ,4,1870.6,50,50,,,12055,금오교회건너
2056,355002067,0,0,금오교회입구,금오교회입구,128.440955 ,35.940398 ,356,3690023900,128.440957 ,35.940399 ,3,897.4,50,50,,,12056,금오교회입구
2057,355002068,0,0,금오리불동마을,금오리불동마을,128.443025 ,35.949035 ,230,3690006500,128.443000 ,35.949056 ,2,817.5,50,50,,,12057,금오리불동마을
378,355000408,0,0,삼구아파트,삼구아파트,128.420709 ,36.138468 ,286,3550095800,128.420790 ,36.138459 ,1,127.5,50,50,1068,,10378,삼구아파트
379,355000708,0,0,삼구트리니엔건너,삼구트리니엔A,128.420717 ,36.138333 ,91,3550095600,128.420717 ,36.138299 ,1,277.2,50,50,1270,,10379,삼구트리니엔A
2058,355002069,0,0,금오리불동마을입구,금오리불동마을입구,128.442867 ,35.948853 ,62,3690023900,128.442891 ,35.948831 ,5,1879.1,50,50,,,12058,금오리불동마을입구
2059,355002070,0,0,금오리하신기건너,금오리하신기건너,128.441447 ,35.944211 ,223,3690006500,128.441428 ,35.944221 ,3,1383.7,50,50,,,12059,금오리하신기건너
2060,355002071,0,0,금오리하신기,금오리하신기,128.441441 ,35.944079 ,48,3690023900,128.441460 ,35.944069 ,4,1327.5,50,50,,,12060,금오리하신기
2064,355002075,0,0,금화리건너,금화리건너,128.537325 ,36.065459 ,189,3690003700,128.537424 ,36.065450 ,3,2469.1,50,50,1016,,12064,금화리건너
2065,355002076,0,0,금화리,금화리,128.537690 ,36.065665 ,5,3690021100,128.537591 ,36.065675 ,1,2525.7,50,50,,,12065,금화리
2066,355002077,0,0,기곡리건너,기곡리건너,128.440527 ,35.932987 ,163,3690006500,128.440523 ,35.932989 ,6,2739,50,50,,,12066,기곡리건너
2067,355002078,0,0,기곡리,기곡리,128.440479 ,35.933217 ,329,3690023900,128.440499 ,35.933226 ,1,22.1,50,50,,,12067,기곡리
2068,355002079,0,0,기곡종점,기곡종점,128.439554 ,35.931785 ,510,3690001400,128.439560 ,35.931793 ,1,154.9,50,50,,,12068,기곡종점
149,355000318,0,0,한국폴리텍대학건너,한국폴리텍대학,128.371527 ,36.116604 ,180,3550098000,128.371744 ,36.116612 ,1,87.8,50,50,1128,,10149,한국폴리텍대학
150,355000625,0,0,한국폴리텍대학앞,한국폴리텍대학,128.371908 ,36.117783 ,358,3550043900,128.371880 ,36.117783 ,1,36.9,50,50,,,10150,한국폴리텍대학
2069,355002080,0,0,기산농공단지건너,기산농공단지건너,128.368445 ,35.973581 ,49,3690019500,128.368451 ,35.973573 ,4,3022.4,50,50,,,12069,기산농공단지건너
2070,355002081,0,0,기산농공단지입구,기산농공단지입구,128.368493 ,35.973710 ,242,3690002100,128.368487 ,35.973718 ,1,1079.2,50,50,,,12070,기산농공단지입구
4040,355004051,0,0,김천(구미)역구미행,KTX역(구미행),128.180656 ,36.114090 ,100,3530009800,128.180748 ,36.114166 ,1,237,50,50,1368,,14040,김천구미ktx역구미행
4043,355004054,0,0,낙동 출발,낙동,128.298147 ,36.362878 ,352,3580000300,128.298169 ,36.362880 ,1,155.6,50,50,,,14043,낙동 출발
4044,355004055,0,0,낙동정류장,낙동정류장,128.298044 ,36.362970 ,176,3580000800,128.298024 ,36.362969 ,1,20.4,50,50,,,14044,낙동정류장
2071,355002082,0,0,낙동한우농장앞,낙동한우농장,128.437201 ,36.044508 ,316,3690016700,128.437215 ,36.044518 ,1,865.4,50,50,,,12071,낙동한우농장
2072,355002083,0,0,낙동한우농장건너,낙동한우농장건너,128.437165 ,36.044427 ,135,3690034100,128.437149 ,36.044416 ,3,2812.1,50,50,,,12072,낙동한우농장건너
2073,355002084,0,0,낙산가라골건너,낙산가라골건너,128.522383 ,35.928474 ,25,3690007000,128.522344 ,35.928492 ,1,50,50,50,,,12073,낙산가라골건너
2074,355002085,0,0,낙산가라골,낙산가라골,128.522368 ,35.929031 ,208,3690023400,128.522390 ,35.929027 ,1,452.3,50,50,,,12074,낙산가라골
2075,355002086,0,0,낙산1리,낙산1리,128.407223 ,35.937145 ,82,3690019900,128.407217 ,35.937181 ,1,41.4,50,50,,,12075,낙산1리
2076,355002087,0,0,낙산1리가실건너,낙산1리가실건너,128.404149 ,35.935356 ,174,3690016900,128.404126 ,35.935354 ,1,256.1,50,50,,,12076,낙산1리가실건너
2077,355002088,0,0,낙산1리가실,낙산1리가실,128.404231 ,35.935406 ,356,3690034300,128.404253 ,35.935408 ,5,1826.8,50,50,1016,,12077,낙산1리가실
2078,355002089,0,0,낙산3리 마을회관,낙산3리 마을회관,128.414236 ,35.943230 ,31,3690019900,128.414189 ,35.943282 ,3,1046.3,50,50,,,12078,낙산3리 마을회관
2079,355002090,0,0,낙산3리 소롱골,낙산3리 소롱골,128.418847 ,35.948020 ,28,3690019900,128.418803 ,35.948023 ,4,1735,50,50,,,12079,낙산3리 소롱골
152,355000335,0,0,낙산리(구미보방면),낙산리,128.349765 ,36.253610 ,193,3550003400,128.349744 ,36.253615 ,3,2060.2,50,50,,,10152,낙산리
153,355000644,0,0,낙산리(칠창방면),낙산리,128.349771 ,36.253270 ,10,3550046800,128.349793 ,36.253268 ,2,2884.7,50,50,1423,,10153,낙산리
2080,355002091,0,0,낙산초등학교,낙산초등학교,128.402009 ,35.945528 ,349,3690020500,128.401939 ,35.945516 ,2,930.4,50,50,,,12080,낙산초등학교
155,355000800,0,0,남구미자동차학원앞,남구미자동차학원,128.354000 ,36.079421 ,42,3550067200,128.353962 ,36.079447 ,3,977.7,50,50,1382,,10155,남구미자동차학원
154,355000514,0,0,남구미자동차학원건너,남구미자동차학원,128.353550 ,36.079285 ,220,3550024900,128.353588 ,36.079259 ,1,104.3,50,50,,,10154,남구미자동차학원
4045,355004056,0,0,남산그린타운,남산그린타운,128.576183 ,35.863340 ,254,1560000300,128.576271 ,35.863180 ,1,573.8,50,50,,,14045,남산그린타운
2081,355002092,0,0,남율강촌건너,남율강촌건너,128.406236 ,36.054657 ,146,3690060700,128.406292 ,36.054673 ,1,63,50,50,1423,,12081,남율강촌건너
2082,355002093,0,0,남율강촌,남율강촌,128.408276 ,36.053280 ,328,3690061100,128.408324 ,36.053216 ,1,209.9,50,50,1423,,12082,남율강촌
2083,355002094,0,0,남율동산마을건너,남율동산마을건너,128.398946 ,36.066958 ,154,3690036700,128.399099 ,36.067077 ,2,901.9,50,50,1130,,12083,남율동산마을건너
2084,355002095,0,0,남율동산마을,남율동산마을,128.399325 ,36.067238 ,335,3690036800,128.399249 ,36.067194 ,2,333,50,50,1334,,12084,남율동산마을
2089,355002100,0,0,노석2리흰돌,노석2리흰돌,128.387857 ,35.962999 ,180,3690015600,128.387851 ,35.963000 ,3,1774,50,50,,,12089,노석2리흰돌
2090,355002101,0,0,노석2리흰돌건너,노석2리흰돌건너,128.388120 ,35.962764 ,306,3690033100,128.388131 ,35.962777 ,4,2801.4,50,50,,,12090,노석2리흰돌건너
2091,355002102,0,0,노석동정미소건너,노석동정미소건너,128.389597 ,35.953787 ,190,3690015600,128.389580 ,35.953790 ,5,2848.7,50,50,,,12091,노석동정미소건너
2092,355002103,0,0,노석동정미소,노석동정미소,128.389652 ,35.953659 ,5,3690033100,128.389671 ,35.953654 ,2,1742.1,50,50,,,12092,노석동정미소
2093,355002104,0,0,노인요양센터건너,노인요양센터건너,128.547598 ,35.986384 ,128,3690014800,128.547608 ,35.986393 ,6,4334.4,50,50,,,12093,노인요양센터건너
2094,355002105,0,0,노인요양센터,노인요양센터,128.547825 ,35.986374 ,329,3690032300,128.547801 ,35.986366 ,6,714.4,50,50,1052,,12094,노인요양센터
